"DepHour","Origin","OrigLong","OrigLat","ArrHour","Dest","DestLong","DestLat","n"
"14","ALB",-73.80,42.74,"16","DTW",-83.35,42.21,60
"17","ALB",-73.80,42.74,"19","ATL",-84.42,33.63,1
"13","ALB",-73.80,42.74,"13","BDL",-72.68,41.93,29
"14","ALB",-73.80,42.74,"15","BWI",-76.66,39.17,88
"15","ALB",-73.80,42.74,"16","DTW",-83.35,42.21,31
"23","ALB",-73.80,42.74,"23","BTV",-73.15,44.47,3
"13","ALB",-73.80,42.74,"14","BDL",-72.68,41.93,41
"08","ALB",-73.80,42.74,"09","BUF",-78.73,42.94,75
"09","ALB",-73.80,42.74,"10","BUF",-78.73,42.94,1
"06","ALB",-73.80,42.74,"08","DTW",-83.35,42.21,28
"22","ALB",-73.80,42.74,"23","BOS",-71.00,42.36,1
"07","ALB",-73.80,42.74,"10","ATL",-84.42,33.63,86
"16","ALB",-73.80,42.74,"18","ORD",-87.90,41.97,151
"16","ALB",-73.80,42.74,"17","ORD",-87.90,41.97,25
"06","ALB",-73.80,42.74,"07","ORD",-87.90,41.97,2
"10","ALB",-73.80,42.74,"11","PHL",-75.24,39.87,92
"10","ALB",-73.80,42.74,"11","ORD",-87.90,41.97,88
"08","ALB",-73.80,42.74,"09","PHL",-75.24,39.87,31
"20","ALB",-73.80,42.74,"21","ORD",-87.90,41.97,83
"17","ALB",-73.80,42.74,"18","PHL",-75.24,39.87,57
"17","ALB",-73.80,42.74,"17","PHL",-75.24,39.87,31
"13","ALB",-73.80,42.74,"14","PHL",-75.24,39.87,17
"06","ALB",-73.80,42.74,"08","ORD",-87.90,41.97,88
"17","ALB",-73.80,42.74,"18","ISP",-73.10,40.79,46
"19","ALB",-73.80,42.74,"21","ORD",-87.90,41.97,82
"13","ALB",-73.80,42.74,"14","ORD",-87.90,41.97,74
"08","ALB",-73.80,42.74,"09","ISP",-73.10,40.79,4
"06","ALB",-73.80,42.74,"07","ISP",-73.10,40.79,76
"07","ALB",-73.80,42.74,"07","PHL",-75.24,39.87,92
"10","ALB",-73.80,42.74,"11","ISP",-73.10,40.79,90
"08","ALB",-73.80,42.74,"09","ORD",-87.90,41.97,88
"12","ALB",-73.80,42.74,"13","ORD",-87.90,41.97,14
"18","ALB",-73.80,42.74,"18","ISP",-73.10,40.79,26
"14","ALB",-73.80,42.74,"15","MHT",-71.43,42.93,87
"08","ALO",-92.40,42.55,"09","STL",-90.37,38.74,24
"14","ALO",-92.40,42.55,"15","STL",-90.37,38.74,88
"07","ALO",-92.40,42.55,"08","STL",-90.37,38.74,67
"20","ALO",-92.40,42.55,"20","RST",-92.50,43.90,90
"12","ALO",-92.40,42.55,"13","RST",-92.50,43.90,87
"19","AMA",-101.70,35.21,"19","ABQ",-106.60,35.04,72
"13","AMA",-101.70,35.21,"14","DAL",-96.85,32.84,84
"20","AMA",-101.70,35.21,"21","DAL",-96.85,32.84,71
"18","AMA",-101.70,35.21,"18","DEN",-104.67,39.86,86
"17","AMA",-101.70,35.21,"18","DAL",-96.85,32.84,78
"12","AMA",-101.70,35.21,"13","DFW",-97.03,32.89,89
"12","AMA",-101.70,35.21,"13","DAL",-96.85,32.84,1
"11","AMA",-101.70,35.21,"12","DFW",-97.03,32.89,90
"15","AMA",-101.70,35.21,"16","DAL",-96.85,32.84,84
"06","AMA",-101.70,35.21,"07","DAL",-96.85,32.84,70
"06","AMA",-101.70,35.21,"07","DFW",-97.03,32.89,89
"08","AMA",-101.70,35.21,"09","DFW",-97.03,32.89,88
"01","AMA",-101.70,35.21,"02","DFW",-97.03,32.89,1
"07","AMA",-101.70,35.21,"07","ABQ",-106.60,35.04,77
"18","AMA",-101.70,35.21,"19","DFW",-97.03,32.89,165
"15","AMA",-101.70,35.21,"15","ABQ",-106.60,35.04,83
"09","AMA",-101.70,35.21,"09","DEN",-104.67,39.86,88
"20","AMA",-101.70,35.21,"21","DFW",-97.03,32.89,86
"17","AMA",-101.70,35.21,"19","DFW",-97.03,32.89,15
"10","AMA",-101.70,35.21,"11","DAL",-96.85,32.84,87
"09","AMA",-101.70,35.21,"10","DAL",-96.85,32.84,86
"23","AMA",-101.70,35.21,"00","MAF",-102.20,31.94,1
"11","AMA",-101.70,35.21,"12","MAF",-102.20,31.94,90
"20","AMA",-101.70,35.21,"21","MAF",-102.20,31.94,84
"13","AMA",-101.70,35.21,"13","LBB",-101.82,33.66,92
"10","AMA",-101.70,35.21,"10","LBB",-101.82,33.66,90
"16","ANC",-149.99,61.17,"20","SEA",-122.30,47.44,155
"08","ANC",-149.99,61.17,"12","SEA",-122.30,47.44,115
"23","ANC",-149.99,61.17,"03","SEA",-122.30,47.44,1
"01","ANC",-149.99,61.17,"08","SLC",-111.97,40.78,90
"17","ANC",-149.99,61.17,"21","SEA",-122.30,47.44,96
"15","ANC",-149.99,61.17,"17","SCC",-148.46,70.19,63
"14","ANC",-149.99,61.17,"18","SEA",-122.30,47.44,139
"06","ANC",-149.99,61.17,"10","SEA",-122.30,47.44,58
"07","ANC",-149.99,61.17,"08","SCC",-148.46,70.19,66
"01","ANC",-149.99,61.17,"05","SEA",-122.30,47.44,258
"12","ANC",-149.99,61.17,"19","SLC",-111.97,40.78,16
"00","ANC",-149.99,61.17,"04","SEA",-122.30,47.44,1
"01","ANC",-149.99,61.17,"06","SEA",-122.30,47.44,82
"00","ANC",-149.99,61.17,"05","SEA",-122.30,47.44,1
"02","ANC",-149.99,61.17,"06","SEA",-122.30,47.44,1
"07","ANC",-149.99,61.17,"11","SEA",-122.30,47.44,208
"09","ANC",-149.99,61.17,"13","SEA",-122.30,47.44,75
"12","ANC",-149.99,61.17,"17","SEA",-122.30,47.44,86
"10","ANC",-149.99,61.17,"13","SEA",-122.30,47.44,1
"13","ANC",-149.99,61.17,"19","SLC",-111.97,40.78,65
"06","ANC",-149.99,61.17,"11","SEA",-122.30,47.44,27
"07","ANC",-149.99,61.17,"12","SEA",-122.30,47.44,62
"15","ANC",-149.99,61.17,"20","SEA",-122.30,47.44,28
"19","ANC",-149.99,61.17,"23","SEA",-122.30,47.44,81
"15","ANC",-149.99,61.17,"15","CDV",-145.47,60.49,71
"21","ANC",-149.99,61.17,"22","FAI",-147.85,64.81,87
"09","ANC",-149.99,61.17,"10","FAI",-147.85,64.81,87
"01","ANC",-149.99,61.17,"06","HNL",-157.92,21.31,34
"07","ANC",-149.99,61.17,"07","FAI",-147.85,64.81,55
"10","ANC",-149.99,61.17,"11","BET",-161.83,60.77,52
"17","ANC",-149.99,61.17,"17","FAI",-147.85,64.81,54
"18","ANC",-149.99,61.17,"19","BET",-161.83,60.77,77
"21","ANC",-149.99,61.17,"21","FAI",-147.85,64.81,66
"00","ANC",-149.99,61.17,"01","FAI",-147.85,64.81,155
"14","ANC",-149.99,61.17,"15","FAI",-147.85,64.81,95
"16","ANC",-149.99,61.17,"17","FAI",-147.85,64.81,74
"02","ANC",-149.99,61.17,"06","PDX",-122.59,45.58,90
"08","ANC",-149.99,61.17,"10","OME",-165.44,64.51,63
"12","ANC",-149.99,61.17,"13","OME",-165.44,64.51,53
"20","ANC",-149.99,61.17,"05","ORD",-87.90,41.97,57
"08","ANC",-149.99,61.17,"16","MSP",-93.22,44.88,30
"01","ANC",-149.99,61.17,"05","HNL",-157.92,21.31,9
"08","ANC",-149.99,61.17,"09","JNU",-134.57,58.35,89
"19","ANC",-149.99,61.17,"21","JNU",-134.57,58.35,68
"14","ANC",-149.99,61.17,"15","OTZ",-162.59,66.88,76
"19","APF",-81.77,26.15,"20","TPA",-82.53,27.97,78
"11","APF",-81.77,26.15,"11","TPA",-82.53,27.97,92
"15","APF",-81.77,26.15,"15","TPA",-82.53,27.97,91
"11","ATL",-84.42,33.63,"12","RSW",-81.75,26.53,83
"21","ATL",-84.42,33.63,"23","RSW",-81.75,26.53,16
"17","ATL",-84.42,33.63,"17","SAV",-81.20,32.12,15
"19","ATL",-84.42,33.63,"21","PIT",-80.23,40.49,84
"14","ATL",-84.42,33.63,"16","SYR",-76.10,43.11,80
"12","ATL",-84.42,33.63,"13","SLC",-111.97,40.78,16
"15","ATL",-84.42,33.63,"16","SAV",-81.20,32.12,171
"11","ATL",-84.42,33.63,"13","RSW",-81.75,26.53,81
"21","ATL",-84.42,33.63,"22","SAV",-81.20,32.12,131
"20","ATL",-84.42,33.63,"21","SAV",-81.20,32.12,88
"15","ATL",-84.42,33.63,"16","SRQ",-82.55,27.39,91
"09","ATL",-84.42,33.63,"10","ROA",-79.97,37.32,37
"21","ATL",-84.42,33.63,"21","SAV",-81.20,32.12,29
"10","ATL",-84.42,33.63,"15","STT",-64.97,18.33,50
"14","ATL",-84.42,33.63,"16","PIT",-80.23,40.49,63
"16","ATL",-84.42,33.63,"15","STL",-90.37,38.74,1
"10","ATL",-84.42,33.63,"11","SRQ",-82.55,27.39,90
"18","ATL",-84.42,33.63,"20","TPA",-82.53,27.97,57
"08","ATL",-84.42,33.63,"09","SAV",-81.20,32.12,89
"17","ATL",-84.42,33.63,"19","RSW",-81.75,26.53,77
"11","ATL",-84.42,33.63,"12","SRQ",-82.55,27.39,44
"16","ATL",-84.42,33.63,"17","TUL",-95.88,36.19,16
"07","ATL",-84.42,33.63,"08","SRQ",-82.55,27.39,2
"18","ATL",-84.42,33.63,"19","SAV",-81.20,32.12,88
